1;Souris;299
2;Telephone;420
3;Table;269
4;Fauteuil;552
5;Telephone;574
6;Stylo;487
7;Stylo;249
8;Ecran;520
9;Ecran;473
10;Clavier;350
11;Clavier;470
12;Chaise;476
13;Telephone;315
14;Fauteuil;592
15;Chaise;337
16;Table;301
17;Telephone;592
18;Table;236
19;Ordinateur;544
20;Ecran;367
21;Table;238
22;Chaise;421
23;Poubelle;401
24;Ordinateur;390
25;Telephone;346
26;Fauteuil;363
27;Ordinateur;592
28;Poubelle;351
29;Clavier;509
30;Souris;454
31;Stylo;291
32;Clavier;454
33;Telephone;424
34;Table;455
35;Table;348
36;Fauteuil;243
37;Ecran;237
38;Poubelle;243
39;Telephone;480
40;Clavier;433
41;Souris;477
42;Souris;459
43;Table;387
44;Ordinateur;378
45;Chaise;332
46;Telephone;343
47;Ecran;210
48;Chaise;214
49;Stylo;590
50;Stylo;521
51;Stylo;374
52;Fauteuil;571
53;Fauteuil;522
54;Clavier;373
55;Clavier;443
56;Ecran;363
57;Clavier;352
58;Fauteuil;288
59;Clavier;424
60;Clavier;330
61;Ecran;277
62;Ordinateur;431
63;Chaise;228
64;Poubelle;513
65;Ordinateur;283
66;Fauteuil;570
67;Clavier;516
68;Clavier;381
69;Fauteuil;331
70;Souris;262
71;Table;295
72;Ordinateur;443
73;Stylo;558
74;Poubelle;339
75;Ordinateur;403
76;Fauteuil;590
77;Souris;447
78;Ordinateur;292
79;Ecran;545
80;Fauteuil;570
81;Ecran;440
82;Clavier;491
83;Telephone;347
84;Ecran;583
85;Stylo;282
86;Poubelle;472
87;Souris;342
88;Ecran;246
89;Telephone;264
90;Chaise;247
91;Stylo;343
92;Ecran;410
93;Souris;409
94;Table;276
95;Clavier;271
96;Table;228
97;Clavier;278
98;Clavier;556
99;Fauteuil;501
100;Fauteuil;543
101;Poubelle;278
102;Stylo;429
103;Souris;380
104;Poubelle;397
105;Fauteuil;407
106;Souris;361
107;Chaise;472
108;Souris;556
109;Poubelle;372
110;Poubelle;395
111;Chaise;298
112;Fauteuil;283
113;Table;295
114;Stylo;303
115;Poubelle;212
116;Table;227
117;Table;417
118;Telephone;402
119;Clavier;580
120;Stylo;344
121;Telephone;371
122;Ordinateur;286
123;Poubelle;350
124;Poubelle;212
125;Ordinateur;563
126;Telephone;278
127;Ecran;232
128;Fauteuil;474
129;Ecran;249
130;Chaise;340
131;Table;226
132;Telephone;415
133;Poubelle;534
134;Poubelle;397
135;Souris;576
136;Stylo;404
137;Fauteuil;333
138;Telephone;360
139;Poubelle;418
140;Poubelle;379
141;Ecran;427
142;Ordinateur;257
143;Poubelle;594
144;Fauteuil;356
145;Table;293
146;Poubelle;304
147;Table;275
148;Table;326
