1;2709;1;44
2;8834;1;12
3;7198;1;23
4;8882;1;8
5;2502;1;41
6;4738;1;7
7;7298;1;57
8;6971;1;75
9;9384;1;59
10;4587;1;88
11;3630;1;6
12;9667;1;58
13;1534;1;46
14;9369;1;70
15;9239;1;57
16;6874;1;25
17;4101;1;34
18;1122;1;52
19;9949;1;23
20;9264;1;14
21;7463;1;2
22;5548;1;90
23;5252;1;41
24;1402;1;30
25;2592;1;43
26;4775;1;58
27;7125;1;26
28;1356;1;94
29;4046;1;83
30;6978;1;35
31;2255;1;16
32;391;1;82
33;1296;1;32
34;3760;1;66
35;1664;1;13
36;4248;1;45
37;4140;1;25
38;7798;1;29
39;6727;1;25
40;8490;1;99
41;6447;1;10
42;2880;1;56
43;2321;1;77
44;2227;1;57
45;9823;1;7
46;6160;1;20
47;5221;1;87
48;3294;1;4
49;2166;1;40
50;3779;1;28
51;9794;1;76
52;7930;1;38
53;344;1;26
54;9716;1;84
55;5960;1;73
56;2434;1;23
57;8056;1;67
58;64;1;88
59;4677;1;45
60;2715;1;18
61;4223;1;73
62;183;1;27
63;1826;1;84
64;4305;1;45
65;5108;1;63
66;7980;1;12
67;7647;1;57
68;604;1;96
69;886;1;59
70;5245;1;8
71;8216;1;77
72;6624;1;4
73;5042;1;2
74;410;1;58
75;5179;1;60
76;9421;1;60
77;9840;1;20
78;903;1;87
79;4322;1;21
80;1676;1;12
81;6368;1;40
82;4343;1;80
83;2955;1;77
84;2849;1;30
85;4754;1;21
86;2097;1;13
87;5127;1;42
88;3421;1;8
89;6921;1;28
90;4356;1;60
91;1967;1;54
92;4511;1;76
93;6128;1;86
94;2039;1;44
95;2741;1;39
96;4943;1;13
97;5433;1;51
98;1198;1;8
99;4792;1;90
100;1878;1;83
101;8546;2;91
102;6125;2;90
103;1558;2;7
104;883;2;73
105;8897;2;92
106;5576;2;98
107;9077;2;73
108;5889;2;75
109;7901;2;27
110;3998;2;99
111;7303;2;72
112;4804;2;68
113;1439;2;36
114;5467;2;75
115;8933;2;52
116;5697;2;79
117;9765;2;92
118;4692;2;67
119;3794;2;42
120;9395;2;52
121;8021;2;2
122;1748;2;22
123;3268;2;34
124;8322;2;13
125;7743;2;41
126;7074;2;95
127;6905;2;45
128;7289;2;5
129;826;2;98
130;5704;2;14
131;1202;2;91
132;1616;2;31
133;6732;2;64
134;3009;2;28
135;1212;2;17
136;6402;2;15
137;2185;2;36
138;3998;2;77
139;9540;2;14
140;5935;2;55
141;6167;2;25
142;9668;2;82
143;9886;2;54
144;1738;2;67
145;7885;2;23
146;4146;2;95
147;5713;2;91
148;9740;2;26
149;3821;2;88
150;447;2;69
151;6619;2;75
152;608;2;74
153;6548;2;42
154;8377;2;2
155;4575;2;21
156;5917;2;43
157;8601;2;7
158;4130;2;27
159;1587;2;66
160;5675;2;41
161;485;2;83
162;6718;2;78
163;3998;2;78
164;4549;2;10
165;2204;2;38
166;4435;2;68
167;6194;2;23
168;9373;2;24
169;9038;2;73
170;2351;2;64
171;133;2;23
